,sector_nombre,variable_id,actividad_producto_nombre,indicador,unidad_de_medida,fuente,frecuencia_nombre,cobertura_nombre,alcance_tipo,alcance_id,alcance_nombre,indice_tiempo,valor,mes,año
33,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2017-01-01,83483.478,1,2017
34,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2017-02-01,82264.716,2,2017
35,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2017-03-01,94698.366,3,2017
36,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2017-04-01,96251.926,4,2017
37,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2017-05-01,90975.933,5,2017
38,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2017-06-01,91878.018,6,2017
39,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2017-07-01,96603.195,7,2017
40,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2017-08-01,96342.598,8,2017
41,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2017-09-01,94321.521,9,2017
42,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2017-10-01,100219.699,10,2017
43,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2017-11-01,96484.76687,11,2017
44,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2017-12-01,123018.6711,12,2017
45,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2018-01-01,94003.98727,1,2018
46,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2018-02-01,96334.35139,2,2018
47,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2018-03-01,114783.7743,3,2018
48,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2018-04-01,106349.0269,4,2018
49,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2018-05-01,106357.5471,5,2018
50,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2018-06-01,109941.8061,6,2018
51,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2018-07-01,114200.8313,7,2018
52,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2018-08-01,114905.4254,8,2018
53,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2018-09-01,119043.0376,9,2018
54,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2018-10-01,125089.8881,10,2018
55,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2018-11-01,129215.111,11,2018
56,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2018-12-01,157980.9638,12,2018
57,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2019-01-01,120353.2655,1,2019
58,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2019-02-01,123503.7026,2,2019
59,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2019-03-01,148393.2902,3,2019
60,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2019-04-01,142876.1902,4,2019
61,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2019-05-01,147372.134,5,2019
62,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2019-06-01,154517.8444,6,2019
63,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2019-07-01,149040.3973,7,2019
64,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2019-08-01,163096.6621,8,2019
65,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,2,CAPITAL FEDERAL,2019-09-01,163320.3306,9,2019
66,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,6,BUENOS AIRES,2017-01-01,123663.611,1,2017
67,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,6,BUENOS AIRES,2017-02-01,119366.56,2,2017
68,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,6,BUENOS AIRES,2017-03-01,123093.149,3,2017
69,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,6,BUENOS AIRES,2017-04-01,128786.086,4,2017
70,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,6,BUENOS AIRES,2017-05-01,116772.481,5,2017
71,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,6,BUENOS AIRES,2017-06-01,119944.102,6,2017
72,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,6,BUENOS AIRES,2017-07-01,138854.553,7,2017
73,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,6,BUENOS AIRES,2017-08-01,131104.764,8,2017
74,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,6,BUENOS AIRES,2017-09-01,125568.9021,9,2017
75,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,6,BUENOS AIRES,2017-10-01,131757.8417,10,2017
76,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,6,BUENOS AIRES,2017-11-01,126546.2203,11,2017
77,Comercio interno,331,Alimentos preparados y rotisería,"Vtas en super (amp), a precios ctes",miles de pesos,INDEC,Mensual,Provincial,PROVINCIA,6,BUENOS AIRES,2017-12-01,168111.5006,12,2017
